Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Midmarket,United States of America, Paseo , Medium ,1153,10,15,17295,1037.7,16257.3,11530,4727.3,10/1/2014,10, October ,2014
Midmarket,United States of America, VTT , Medium ,1153,250,15,17295,1037.7,16257.3,11530,4727.3,10/1/2014,10, October ,2014
Government,Germany, Paseo , High ,1158,10,20,23160,3474,19686,11580,8106,3/1/2014,3, March ,2014
Government,Germany, Montana , Medium ,1159,5,7,8113,405.65,7707.35,5795,1912.35,10/1/2013,10, October ,2013
Government,Germany, Amarilla , Medium ,1159,260,7,8113,405.65,7707.35,5795,1912.35,10/1/2013,10, October ,2013
Enterprise,France, Carretera , High ,1174,3,125,146750,22012.5,124737.5,140880,-16142.5,8/1/2014,8, August ,2014
Midmarket,Germany, Paseo , High ,1175,10,15,17625,2643.75,14981.25,11750,3231.25,10/1/2014,10, October ,2014
Midmarket,Germany, VTT , High ,1175,250,15,17625,2643.75,14981.25,11750,3231.25,10/1/2014,10, October ,2014
Government,United States of America, Paseo , High ,1177,10,350,411950,57673,354277,306020,48257,11/1/2014,11, November ,2014
Small Business,France, Montana , High ,1186,5,300,355800,42696,313104,296500,16604,12/1/2013,12, December ,2013
Government,France, Velo , High ,1190,120,7,8330,1082.9,7247.1,5950,1297.1,6/1/2014,6, June ,2014
Government,France, Amarilla , High ,1190,260,7,8330,1082.9,7247.1,5950,1297.1,6/1/2014,6, June ,2014
Government,Mexico, Paseo , High ,1197,10,350,418950,50274,368676,311220,57456,11/1/2014,11, November ,2014
Channel Partners,France, Carretera , High ,1198,3,12,14376,1581.36,12794.64,3594,9200.64,10/1/2013,10, October ,2013
Channel Partners,France, Paseo , High ,1198,10,12,14376,1581.36,12794.64,3594,9200.64,10/1/2013,10, October ,2013
Government,Germany, Montana , High ,1199,5,350,419650,58751,360899,311740,49159,4/1/2014,4, April ,2014
Government,Mexico, Carretera , Low ,1210,3,350,423500,4235,419265,314600,104665,3/1/2014,3, March ,2014
Small Business,France, Velo , Medium ,1221,120,300,366300,21978,344322,305250,39072,10/1/2013,10, October ,2013
Small Business,France, VTT , Medium ,1221,250,300,366300,21978,344322,305250,39072,10/1/2013,10, October ,2013
Midmarket,France, Paseo , Medium ,1227,10,15,18405,1656.45,16748.55,12270,4478.55,10/1/2014,10, October ,2014
Midmarket,France, VTT , Medium ,1227,250,15,18405,1656.45,16748.55,12270,4478.55,10/1/2014,10, October ,2014
Government,Canada, Paseo , Medium ,1228,10,350,429800,21490,408310,319280,89030,10/1/2013,10, October ,2013
Government,Canada, Amarilla , Medium ,1228,260,350,429800,21490,408310,319280,89030,10/1/2013,10, October ,2013
Government,Mexico, Paseo , High ,1233,10,20,24660,2959.2,21700.8,12330,9370.8,12/1/2014,12, December ,2014
Government,Mexico, VTT , High ,1233,250,20,24660,2959.2,21700.8,12330,9370.8,12/1/2014,12, December ,2014
Government,United States of America, Amarilla , Low ,1236,260,20,24720,494.4,24225.6,12360,11865.6,11/1/2014,11, November ,2014
Government,Canada, Montana , High ,1249,5,20,24980,3247.4,21732.6,12490,9242.6,10/1/2014,10, October ,2014
Government,Canada, Paseo , High ,1249,10,20,24980,3247.4,21732.6,12490,9242.6,10/1/2014,10, October ,2014
Small Business,Germany, Velo , Medium ,1250,120,300,375000,18750,356250,312500,43750,12/1/2014,12, December ,2014
Small Business,Germany, Amarilla , Medium ,1250,260,300,375000,18750,356250,312500,43750,12/1/2014,12, December ,2014
Government,Germany, Paseo , Medium ,1259,10,7,8813,705.04,8107.96,6295,1812.96,4/1/2014,4, April ,2014
Midmarket,Canada, Velo , Medium ,1262,120,15,18930,1325.1,17604.9,12620,4984.9,5/1/2014,5, May ,2014
Government,United States of America, VTT , Medium ,1265,250,20,25300,1265,24035,12650,11385,11/1/2013,11, November ,2013
Government,Canada, Velo , Medium ,1269,120,350,444150,39973.5,404176.5,329940,74236.5,10/1/2014,10, October ,2014
Government,Canada, Amarilla , Medium ,1269,260,350,444150,39973.5,404176.5,329940,74236.5,10/1/2014,10, October ,2014
Government,France, VTT , High ,1281,250,350,448350,62769,385581,333060,52521,12/1/2013,12, December ,2013
Government,United States of America, Montana , Medium ,1282,5,20,25640,2051.2,23588.8,12820,10768.8,6/1/2014,6, June ,2014
Government,United States of America, Amarilla , Medium ,1282,260,20,25640,2051.2,23588.8,12820,10768.8,6/1/2014,6, June ,2014
Small Business,Canada, Montana , Medium ,1283,5,300,384900,30792,354108,320750,33358,9/1/2013,9, September ,2013
Enterprise,France, Montana , Low ,1287,5,125,160875,4826.25,156048.75,154440,1608.75,12/1/2014,12, December ,2014
Enterprise,France, Paseo , Low ,1287,10,125,160875,4826.25,156048.75,154440,1608.75,12/1/2014,12, December ,2014
Channel Partners,Canada, Carretera , Low ,1295,3,12,15540,310.8,15229.2,3885,11344.2,10/1/2014,10, October ,2014
Channel Partners,Canada, Paseo , Low ,1295,10,12,15540,310.8,15229.2,3885,11344.2,10/1/2014,10, October ,2014
Government,United States of America, Montana , High ,1298,5,7,9086,1181.18,7904.82,6490,1414.82,2/1/2014,2, February ,2014
Government,France, Paseo , Medium ,1303,10,20,26060,1303,24757,13030,11727,2/1/2014,2, February ,2014
Government,Germany, Velo , Medium ,1307,120,350,457450,41170.5,416279.5,339820,76459.5,7/1/2014,7, July ,2014
Government,Germany, Carretera ,,1321,3,20,26420,0,26420,13210,13210,1/1/2014,1, January ,2014
Small Business,France, Paseo , Medium ,1324,10,300,397200,35748,361452,331000,30452,11/1/2014,11, November ,2014
Government,Canada, VTT , Low ,1326,250,7,9282,92.82,9189.18,6630,2559.18,3/1/2014,3, March ,2014
Government,Mexico, Velo , Medium ,1333,120,7,9331,559.86,8771.14,6665,2106.14,11/1/2014,11, November ,2014
Government,Germany, Amarilla , Medium ,1350,260,350,472500,23625,448875,351000,97875,2/1/2014,2, February ,2014
Government,United States of America, VTT , Medium ,1351.5,250,350,473025,42572.25,430452.75,351390,79062.75,4/1/2014,4, April ,2014
Small Business,Germany, Paseo , High ,1359,10,300,407700,48924,358776,339750,19026,11/1/2014,11, November ,2014
Government,Mexico, Carretera , Medium ,1362,3,350,476700,38136,438564,354120,84444,12/1/2014,12, December ,2014
Government,Mexico, Paseo , Medium ,1362,10,350,476700,38136,438564,354120,84444,12/1/2014,12, December ,2014
Small Business,Canada, Paseo , High ,1366,10,300,409800,45078,364722,341500,23222,11/1/2014,11, November ,2014
Government,Germany, Paseo , Medium ,1366,10,20,27320,2185.6,25134.4,13660,11474.4,6/1/2014,6, June ,2014
Government,Germany, Amarilla , Medium ,1366,260,20,27320,2185.6,25134.4,13660,11474.4,6/1/2014,6, June ,2014
Government,Mexico, Montana , High ,1368,5,7,9576,1436.4,8139.6,6840,1299.6,2/1/2014,2, February ,2014
Channel Partners,United States of America, Paseo , Low ,1369.5,10,12,16434,493.02,15940.98,4108.5,11832.48,7/1/2014,7, July ,2014
Small Business,United States of America, Velo , Medium ,1372,120,300,411600,28812,382788,343000,39788,12/1/2014,12, December ,2014
Small Business,United States of America, Amarilla , Medium ,1372,260,300,411600,28812,382788,343000,39788,12/1/2014,12, December ,2014
Government,Germany, Paseo , Medium ,1372,10,7,9604,480.2,9123.8,6860,2263.8,1/1/2014,1, January ,2014
Channel Partners,Mexico, Amarilla , Medium ,1375,260,12,16500,1320,15180,4125,11055,12/1/2013,12, December ,2013
Government,France, Montana , Low ,1375.5,5,20,27510,275.1,27234.9,13755,13479.9,7/1/2014,7, July ,2014
Government,France, Montana , Medium ,1384.5,5,350,484575,24228.75,460346.25,359970,100376.25,1/1/2014,1, January ,2014
Government,Canada, Paseo , Medium ,1389,10,20,27780,1389,26391,13890,12501,10/1/2013,10, October ,2013
Government,Canada, VTT , Medium ,1389,250,20,27780,1389,26391,13890,12501,10/1/2013,10, October ,2013
Channel Partners,France, Paseo , High ,1393,10,12,16716,2340.24,14375.76,4179,10196.76,10/1/2014,10, October ,2014
Channel Partners,France, Amarilla , High ,1393,260,12,16716,2340.24,14375.76,4179,10196.76,10/1/2014,10, October ,2014
Government,Mexico, Velo , High ,1395,120,350,488250,58590,429660,362700,66960,7/1/2014,7, July ,2014
Government,Mexico, Carretera , Low ,1397,3,350,488950,4889.5,484060.5,363220,120840.5,10/1/2014,10, October ,2014
Government,Mexico, VTT , Low ,1397,250,350,488950,4889.5,484060.5,363220,120840.5,10/1/2014,10, October ,2014
Government,France, Montana , Medium ,1403,5,7,9821,589.26,9231.74,7015,2216.74,10/1/2013,10, October ,2013
Government,France, Amarilla , Medium ,1403,260,7,9821,589.26,9231.74,7015,2216.74,10/1/2013,10, October ,2013
Small Business,Canada, Paseo , Medium ,1404,10,300,421200,29484,391716,351000,40716,11/1/2013,11, November ,2013
Small Business,Germany, Paseo , Low ,1414.5,10,300,424350,16974,407376,353625,53751,4/1/2014,4, April ,2014
Government,United States of America, Velo , Medium ,1421,120,20,28420,1989.4,26430.6,14210,12220.6,12/1/2013,12, December ,2013
Enterprise,France, Amarilla , High ,1433,260,125,179125,19703.75,159421.25,171960,-12538.75,5/1/2014,5, May ,2014
Government,United States of America, Paseo , High ,1438.5,10,7,10069.5,1309.04,8760.47,7192.5,1567.97,1/1/2014,1, January ,2014
Channel Partners,Canada, Carretera , Low ,1445,3,12,17340,173.4,17166.6,4335,12831.6,9/1/2014,9, September ,2014
Government,Germany, Montana , Medium ,1460,5,350,511000,30660,480340,379600,100740,5/1/2014,5, May ,2014
Channel Partners,United States of America, Velo , Low ,1465,120,12,17580,703.2,16876.8,4395,12481.8,3/1/2014,3, March ,2014
Enterprise,France, Carretera , High ,1482,3,125,185250,18525,166725,177840,-11115,12/1/2013,12, December ,2013
Government,France, VTT , High ,1491,250,7,10437,1252.44,9184.56,7455,1729.56,3/1/2014,3, March ,2014
Government,Mexico, Velo ,,1493,120,7,10451,0,10451,7465,2986,1/1/2014,1, January ,2014
Government,France, Paseo , Medium ,1496,10,350,523600,31416,492184,388960,103224,6/1/2014,6, June ,2014
Government,France, Velo , Medium ,1496,120,350,523600,31416,492184,388960,103224,6/1/2014,6, June ,2014
Small Business,Canada, Carretera , High ,1496,3,300,448800,62832,385968,374000,11968,10/1/2014,10, October ,2014
Small Business,Canada, VTT , High ,1496,250,300,448800,62832,385968,374000,11968,10/1/2014,10, October ,2014
Government,Mexico, Velo , Medium ,1498,120,7,10486,629.16,9856.84,7490,2366.84,6/1/2014,6, June ,2014
Government,Mexico, VTT , Medium ,1498,250,7,10486,629.16,9856.84,7490,2366.84,6/1/2014,6, June ,2014
Government,Germany, Carretera ,,1513,3,350,529550,0,529550,393380,136170,12/1/2014,12, December ,2014
Government,Germany, Paseo ,,1513,10,350,529550,0,529550,393380,136170,12/1/2014,12, December ,2014
Midmarket,Germany, Carretera , High ,1513,3,15,22695,3177.3,19517.7,15130,4387.7,11/1/2014,11, November ,2014
Midmarket,United States of America, Paseo , Low ,1514,10,15,22710,227.1,22482.9,15140,7342.9,2/1/2014,2, February ,2014
Midmarket,Mexico, Paseo , Low ,1514,10,15,22710,908.4,21801.6,15140,6661.6,10/1/2013,10, October ,2013
Midmarket,Mexico, VTT , Low ,1514,250,15,22710,908.4,21801.6,15140,6661.6,10/1/2013,10, October ,2013
Government,Germany, Amarilla , Medium ,1520,260,20,30400,2432,27968,15200,12768,11/1/2014,11, November ,2014
Government,France, VTT ,,1527,250,350,534450,0,534450,397020,137430,9/1/2013,9, September ,2013
Midmarket,Germany, Velo , Medium ,1530,120,15,22950,1377,21573,15300,6273,5/1/2014,5, May ,2014
Government,Germany, Paseo , High ,1531,10,20,30620,3674.4,26945.6,15310,11635.6,12/1/2014,12, December ,2014
Government,Germany, VTT , High ,1531,250,20,30620,3674.4,26945.6,15310,11635.6,12/1/2014,12, December ,2014
Government,France, Paseo , Medium ,1535,10,20,30700,2149,28551,15350,13201,9/1/2014,9, September ,2014
Enterprise,Mexico, Carretera , Medium ,1540,3,125,192500,15400,177100,184800,-7700,8/1/2014,8, August ,2014
Channel Partners,Germany, Montana ,,1545,5,12,18540,0,18540,4635,13905,6/1/2014,6, June ,2014
Channel Partners,Germany, Velo ,,1545,120,12,18540,0,18540,4635,13905,6/1/2014,6, June ,2014
Midmarket,Canada, Carretera , High ,1560,3,15,23400,2574,20826,15600,5226,11/1/2013,11, November ,2013
Small Business,France, Montana , Medium ,1562,5,300,468600,37488,431112,390500,40612,8/1/2014,8, August ,2014
Government,France, Carretera , Medium ,1563,3,20,31260,1563,29697,15630,14067,5/1/2014,5, May ,2014
Midmarket,Canada, Paseo , High ,1565,10,15,23475,3051.75,20423.25,15650,4773.25,10/1/2014,10, October ,2014
Midmarket,Canada, VTT , High ,1565,250,15,23475,3051.75,20423.25,15650,4773.25,10/1/2014,10, October ,2014
Government,United States of America, Montana , Low ,1566,5,20,31320,626.4,30693.6,15660,15033.6,10/1/2014,10, October ,2014
Government,United States of America, Velo , Low ,1566,120,20,31320,626.4,30693.6,15660,15033.6,10/1/2014,10, October ,2014
Enterprise,Germany, Paseo , Low ,1570,10,125,196250,5887.5,190362.5,188400,1962.5,6/1/2014,6, June ,2014
Enterprise,Germany, VTT , Low ,1570,250,125,196250,5887.5,190362.5,188400,1962.5,6/1/2014,6, June ,2014
Enterprise,Mexico, Velo , High ,1575,120,125,196875,27562.5,169312.5,189000,-19687.5,2/1/2014,2, February ,2014
Government,France, Velo , Medium ,1579,120,20,31580,1579,30001,15790,14211,8/1/2014,8, August ,2014
Government,United States of America, VTT , High ,1579,250,7,11053,1215.83,9837.17,7895,1942.17,3/1/2014,3, March ,2014
Channel Partners,Germany, Carretera , Medium ,1580,3,12,18960,1706.4,17253.6,4740,12513.6,9/1/2014,9, September ,2014
Government,Canada, Velo , Medium ,1582,120,7,11074,775.18,10298.82,7910,2388.82,12/1/2014,12, December ,2014
Government,Canada, VTT , Medium ,1582,250,7,11074,775.18,10298.82,7910,2388.82,12/1/2014,12, December ,2014
Enterprise,Canada, Paseo , High ,1583,10,125,197875,25723.75,172151.25,189960,-17808.75,6/1/2014,6, June ,2014
Enterprise,Canada, VTT , High ,1583,250,125,197875,25723.75,172151.25,189960,-17808.75,6/1/2014,6, June ,2014
Government,France, Paseo , High ,1594,10,350,557900,66948,490952,414440,76512,11/1/2014,11, November ,2014
Enterprise,United States of America, Velo , High ,1596,120,125,199500,19950,179550,191520,-11970,9/1/2014,9, September ,2014
Government,Germany, Paseo , Medium ,1598,10,7,11186,894.88,10291.12,7990,2301.12,8/1/2014,8, August ,2014
Small Business,Mexico, Paseo , Medium ,1607,10,300,482100,24105,457995,401750,56245,4/1/2014,4, April ,2014
Government,Canada, Montana , Medium ,1611,5,7,11277,1014.93,10262.07,8055,2207.07,12/1/2013,12, December ,2013
Midmarket,Canada, Paseo , High ,1614,10,15,24210,3631.5,20578.5,16140,4438.5,4/1/2014,4, April ,2014
Government,Canada, Carretera ,,1618.5,3,20,32370,0,32370,16185,16185,1/1/2014,1, January ,2014
Midmarket,Canada, Amarilla , Medium ,1630.5,260,15,24457.5,2201.18,22256.33,16305,5951.33,7/1/2014,7, July ,2014
Government,Mexico, VTT , Low ,1642,250,350,574700,17241,557459,426920,130539,8/1/2014,8, August ,2014
Enterprise,Canada, Amarilla , Medium ,1645,260,125,205625,14393.75,191231.25,197400,-6168.75,5/1/2014,5, May ,2014
Small Business,France, Velo , Medium ,1659,120,300,497700,34839,462861,414750,48111,7/1/2014,7, July ,2014
Enterprise,Canada, Amarilla , High ,1659,260,125,207375,26958.75,180416.25,199080,-18663.75,1/1/2014,1, January ,2014
Enterprise,Mexico, Montana , Low ,1660,5,125,207500,4150,203350,199200,4150,11/1/2013,11, November ,2013
Government,France, Montana , Medium ,1666,5,350,583100,52479,530621,433160,97461,5/1/2014,5, May ,2014
Government,Mexico, Amarilla , Medium ,1679,260,350,587650,35259,552391,436540,115851,9/1/2014,9, September ,2014
Government,Mexico, Amarilla , Medium ,1683,260,7,11781,589.05,11191.95,8415,2776.95,7/1/2014,7, July ,2014
Government,Germany, Amarilla ,,1686,260,7,11802,0,11802,8430,3372,7/1/2014,7, July ,2014
Government,Mexico, Amarilla , Medium ,1694,260,20,33880,3049.2,30830.8,16940,13890.8,11/1/2014,11, November ,2014
Small Business,Canada, Paseo , Medium ,1702,10,300,510600,35742,474858,425500,49358,5/1/2014,5, May ,2014
Enterprise,Germany, Montana , Low ,1706,5,125,213250,6397.5,206852.5,204720,2132.5,12/1/2014,12, December ,2014
Enterprise,Germany, Paseo , Low ,1706,10,125,213250,6397.5,206852.5,204720,2132.5,12/1/2014,12, December ,2014
Government,Mexico, Montana , High ,1715,5,20,34300,4116,30184,17150,13034,10/1/2013,10, October ,2013
Government,Mexico, Paseo , High ,1715,10,20,34300,4116,30184,17150,13034,10/1/2013,10, October ,2013
Government,Canada, Paseo ,,1725,10,350,603750,0,603750,448500,155250,11/1/2013,11, November ,2013
Government,Mexico, Montana , High ,1727,5,7,12089,1692.46,10396.54,8635,1761.54,10/1/2013,10, October ,2013
Government,Mexico, Amarilla , High ,1727,260,7,12089,1692.46,10396.54,8635,1761.54,10/1/2013,10, October ,2013
Small Business,Germany, Paseo , Low ,1728,10,300,518400,10368,508032,432000,76032,5/1/2014,5, May ,2014
Government,France, Paseo , High ,1731,10,7,12117,1696.38,10420.62,8655,1765.62,10/1/2014,10, October ,2014
Government,France, Amarilla , High ,1731,260,7,12117,1696.38,10420.62,8655,1765.62,10/1/2014,10, October ,2014
Channel Partners,France, VTT , High ,1734,250,12,20808,2288.88,18519.12,5202,13317.12,1/1/2014,1, January ,2014
Channel Partners,France, VTT , Medium ,1738.5,250,12,20862,1460.34,19401.66,5215.5,14186.16,4/1/2014,4, April ,2014
Government,United States of America, Carretera , High ,1743,3,20,34860,4880.4,29979.6,17430,12549.6,5/1/2014,5, May ,2014
Midmarket,Germany, Paseo , Medium ,1743,10,15,26145,1568.7,24576.3,17430,7146.3,8/1/2014,8, August ,2014
Midmarket,Canada, Paseo , High ,1743,10,15,26145,3660.3,22484.7,17430,5054.7,10/1/2013,10, October ,2013
Midmarket,Canada, Amarilla , High ,1743,260,15,26145,3660.3,22484.7,17430,5054.7,10/1/2013,10, October ,2013
Enterprise,France, VTT , Low ,1744,250,125,218000,2180,215820,209280,6540,11/1/2014,11, November ,2014
Government,France, Montana , Medium ,1757,5,20,35140,2108.4,33031.6,17570,15461.6,10/1/2013,10, October ,2013
Government,France, Paseo , Medium ,1757,10,20,35140,2108.4,33031.6,17570,15461.6,10/1/2013,10, October ,2013
Government,Mexico, Paseo , Low ,1760,10,7,12320,369.6,11950.4,8800,3150.4,9/1/2013,9, September ,2013
Government,United States of America, Carretera , Medium ,1761,3,350,616350,43144.5,573205.5,457860,115345.5,3/1/2014,3, March ,2014
Midmarket,United States of America, Paseo , High ,1767,10,15,26505,3710.7,22794.3,17670,5124.3,9/1/2014,9, September ,2014
Channel Partners,Germany, Amarilla , High ,1770,260,12,21240,2761.2,18478.8,5310,13168.8,12/1/2013,12, December ,2013
Small Business,France, Montana , High ,1773,5,300,531900,63828,468072,443250,24822,4/1/2014,4, April ,2014
Enterprise,Canada, Paseo , Low ,1774,10,125,221750,6652.5,215097.5,212880,2217.5,3/1/2014,3, March ,2014
Channel Partners,Germany, Paseo , Medium ,1775,10,12,21300,1917,19383,5325,14058,11/1/2013,11, November ,2013
Government,Canada, Amarilla , Low ,1778,260,350,622300,24892,597408,462280,135128,12/1/2013,12, December ,2013
Channel Partners,France, Paseo , Low ,1785,10,12,21420,428.4,20991.6,5355,15636.6,11/1/2013,11, November ,2013
Government,France, Carretera , High ,1790,3,350,626500,81445,545055,465400,79655,3/1/2014,3, March ,2014
Government,Germany, Montana , Low ,1797,5,350,628950,18868.5,610081.5,467220,142861.5,9/1/2013,9, September ,2013
Government,Canada, Paseo , Medium ,1802,10,20,36040,1802,34238,18020,16218,12/1/2013,12, December ,2013
Enterprise,France, Velo ,,1804,120,125,225500,0,225500,216480,9020,2/1/2014,2, February ,2014
Enterprise,United States of America, Montana , High ,1804,5,125,225500,22550,202950,216480,-13530,11/1/2013,11, November ,2013
Channel Partners,United States of America, VTT , High ,1806,250,12,21672,3250.8,18421.2,5418,13003.2,5/1/2014,5, May ,2014
Government,Canada, Velo , High ,1808,120,7,12656,1392.16,11263.84,9040,2223.84,11/1/2014,11, November ,2014
Government,Canada, Paseo ,,1817,10,20,36340,0,36340,18170,18170,12/1/2014,12, December ,2014
Government,Canada, VTT ,,1817,250,20,36340,0,36340,18170,18170,12/1/2014,12, December ,2014
Enterprise,Mexico, Paseo , Low ,1823,10,125,227875,2278.75,225596.25,218760,6836.25,7/1/2014,7, July ,2014
Government,Canada, Montana , Low ,1830,5,7,12810,128.1,12681.9,9150,3531.9,8/1/2014,8, August ,2014
Government,Mexico, Carretera , Medium ,1834,3,20,36680,2567.6,34112.4,18340,15772.4,9/1/2013,9, September ,2013
Enterprise,France, Montana , Medium ,1857,5,125,232125,20891.25,211233.75,222840,-11606.25,11/1/2013,11, November ,2013
Channel Partners,United States of America, Carretera , Low ,1858,3,12,22296,222.96,22073.04,5574,16499.04,2/1/2014,2, February ,2014
Small Business,Germany, Montana , Low ,1859,5,300,557700,22308,535392,464750,70642,8/1/2014,8, August ,2014
Government,Mexico, Amarilla , Low ,1865,260,350,652750,26110,626640,484900,141740,2/1/2014,2, February ,2014
Channel Partners,France, Carretera , Medium ,1865,3,12,22380,1119,21261,5595,15666,2/1/2014,2, February ,2014
Small Business,United States of America, VTT , Medium ,1867,250,300,560100,50409,509691,466750,42941,9/1/2014,9, September ,2014
Government,Germany, VTT , High ,1870,250,350,654500,65450,589050,486200,102850,12/1/2013,12, December ,2013
Midmarket,Mexico, Amarilla , High ,1870,260,15,28050,3927,24123,18700,5423,11/1/2013,11, November ,2013
Small Business,Canada, VTT , Low ,1874,250,300,562200,16866,545334,468500,76834,8/1/2014,8, August ,2014
Channel Partners,Canada, Carretera , Medium ,1884,3,12,22608,1582.56,21025.44,5652,15373.44,8/1/2014,8, August ,2014
Government,France, Montana ,,1899,5,20,37980,0,37980,18990,18990,6/1/2014,6, June ,2014
Government,France, Amarilla ,,1899,260,20,37980,0,37980,18990,18990,6/1/2014,6, June ,2014
Channel Partners,France, Montana , Low ,1901,5,12,22812,684.36,22127.64,5703,16424.64,6/1/2014,6, June ,2014
Channel Partners,France, Paseo , Low ,1901,10,12,22812,684.36,22127.64,5703,16424.64,6/1/2014,6, June ,2014
Government,Germany, Amarilla , Low ,1907,260,350,667450,26698,640752,495820,144932,9/1/2014,9, September ,2014
Small Business,Canada, Paseo , Low ,1916,10,300,574800,11496,563304,479000,84304,12/1/2014,12, December ,2014
Small Business,Canada, Amarilla , Low ,1916,260,300,574800,11496,563304,479000,84304,12/1/2014,12, December ,2014
Channel Partners,Mexico, VTT , Low ,1916,250,12,22992,689.76,22302.24,5748,16554.24,4/1/2014,4, April ,2014
Enterprise,Canada, Velo , High ,1916,120,125,239500,23950,215550,229920,-14370,12/1/2013,12, December ,2013
Government,France, Paseo , High ,1922,10,350,672700,94178,578522,499720,78802,11/1/2013,11, November ,2013
Midmarket,United States of America, Paseo , Low ,1925,10,15,28875,577.5,28297.5,19250,9047.5,12/1/2013,12, December ,2013
Government,Germany, Paseo , Medium ,1934,10,20,38680,3094.4,35585.6,19340,16245.6,9/1/2014,9, September ,2014
Channel Partners,Canada, Carretera , High ,1937,3,12,23244,2556.84,20687.16,5811,14876.16,2/1/2014,2, February ,2014
Government,Mexico, VTT , Low ,1940,250,350,679000,13580,665420,504400,161020,12/1/2013,12, December ,2013
Midmarket,Germany, Paseo , Low ,1945,10,15,29175,875.25,28299.75,19450,8849.75,10/1/2013,10, October ,2013
Midmarket,Germany, VTT , Low ,1945,250,15,29175,875.25,28299.75,19450,8849.75,10/1/2013,10, October ,2013
Government,Mexico, Paseo , Medium ,1946,10,7,13622,1089.76,12532.24,9730,2802.24,12/1/2013,12, December ,2013
Channel Partners,United States of America, Carretera , Low ,1947,3,12,23364,700.92,22663.08,5841,16822.08,9/1/2014,9, September ,2014
Channel Partners,United States of America, Amarilla ,,1953,260,12,23436,0,23436,5859,17577,4/1/2014,4, April ,2014
Government,France, Paseo , High ,1954,10,20,39080,3908,35172,19540,15632,3/1/2014,3, March ,2014
Channel Partners,United States of America, VTT , Medium ,1956,250,12,23472,2112.48,21359.52,5868,15491.52,1/1/2014,1, January ,2014
Government,Germany, Montana , Low ,1958,5,7,13706,411.18,13294.82,9790,3504.82,2/1/2014,2, February ,2014
Channel Partners,France, Velo , Medium ,1967,120,12,23604,2124.36,21479.64,5901,15578.64,3/1/2014,3, March ,2014
Midmarket,Canada, Montana , Low ,1967,5,15,29505,1180.2,28324.8,19670,8654.8,3/1/2014,3, March ,2014
Government,France, Montana , Medium ,1976,5,20,39520,2766.4,36753.6,19760,16993.6,10/1/2014,10, October ,2014
Government,France, Velo , Medium ,1976,120,20,39520,2766.4,36753.6,19760,16993.6,10/1/2014,10, October ,2014
Midmarket,Mexico, Paseo , High ,1984,10,15,29760,3273.6,26486.4,19840,6646.4,8/1/2014,8, August ,2014
Enterprise,France, Amarilla , Medium ,1987.5,260,125,248437.5,14906.25,233531.25,238500,-4968.75,1/1/2014,1, January ,2014
Channel Partners,United States of America, Amarilla , Low ,1989,260,12,23868,238.68,23629.32,5967,17662.32,9/1/2013,9, September ,2013
Small Business,Canada, VTT ,,2001,250,300,600300,0,600300,500250,100050,2/1/2014,2, February ,2014
Government,United States of America, Paseo , High ,2007,10,350,702450,105367.5,597082.5,521820,75262.5,11/1/2013,11, November ,2013
Enterprise,Canada, Paseo , Low ,2009,10,125,251125,7533.75,243591.25,241080,2511.25,10/1/2014,10, October ,2014
Enterprise,Canada, Velo , Low ,2009,120,125,251125,7533.75,243591.25,241080,2511.25,10/1/2014,10, October ,2014
Government,United States of America, Paseo , Low ,2013,10,7,14091,281.82,13809.18,10065,3744.18,12/1/2013,12, December ,2013
Channel Partners,United States of America, Amarilla , High ,2015,260,12,24180,3385.2,20794.8,6045,14749.8,12/1/2013,12, December ,2013
Small Business,Germany, Carretera , Low ,2021,3,300,606300,24252,582048,505250,76798,10/1/2014,10, October ,2014
Small Business,Germany, Montana , Low ,2021,5,300,606300,24252,582048,505250,76798,10/1/2014,10, October ,2014
Midmarket,United States of America, Carretera , Medium ,2030,3,15,30450,1827,28623,20300,8323,11/1/2014,11, November ,2014
Midmarket,Mexico, Montana , Low ,2031,5,15,30465,1218.6,29246.4,20310,8936.4,10/1/2014,10, October ,2014
Midmarket,Mexico, Paseo , Low ,2031,10,15,30465,1218.6,29246.4,20310,8936.4,10/1/2014,10, October ,2014
Government,Mexico, Amarilla , High ,2039,260,20,40780,4078,36702,20390,16312,5/1/2014,5, May ,2014
Government,United States of America, Amarilla , Medium ,2071,260,350,724850,65236.5,659613.5,538460,121153.5,9/1/2014,9, September ,2014
Midmarket,France, Montana , High ,2072,5,15,31080,3108,27972,20720,7252,12/1/2014,12, December ,2014
Midmarket,France, Amarilla , High ,2072,260,15,31080,3108,27972,20720,7252,12/1/2014,12, December ,2014
Government,Canada, Paseo , Low ,2074,10,20,41480,1659.2,39820.8,20740,19080.8,9/1/2014,9, September ,2014
Government,France, Velo , Medium ,2076,120,350,726600,43596,683004,539760,143244,10/1/2013,10, October ,2013
Government,France, Amarilla , Medium ,2076,260,350,726600,43596,683004,539760,143244,10/1/2013,10, October ,2013
Enterprise,Germany, Velo , Medium ,2087,120,125,260875,18261.25,242613.75,250440,-7826.25,9/1/2014,9, September ,2014
Government,Canada, Velo , Low ,2092,120,7,14644,146.44,14497.56,10460,4037.56,11/1/2013,11, November ,2013
